data-object,key,variants.sku,variants.key,variants.images.label,variants.images.url,variants.images.dimensions.w,variants.images.dimensions.h
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/1.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/2.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/3.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/4.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/5.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-07,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/6.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-08,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/7.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-09,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/8.jpg,700,700
image,KeySnowboard000,SKU-SNW-3125,VariantKeySNW-3125,SNW-Image0-010,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/9.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0001,VariantKeySNW-3125-0001,SNW-Image0-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0002,VariantKeySNW-3125-0002,SNW-Image0-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0003,VariantKeySNW-3125-0003,SNW-Image0-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0004,VariantKeySNW-3125-0004,SNW-Image0-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0005,VariantKeySNW-3125-0005,SNW-Image0-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0006,VariantKeySNW-3125-0006,SNW-Image0-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0007,VariantKeySNW-3125-0007,SNW-Image0-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0008,VariantKeySNW-3125-0008,SNW-Image0-08-0008,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
variant,KeySnowboard000,SKU-SNW-3125-0009,VariantKeySNW-3125-0009,SNW-Image0-09-0009,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-0-01/0.jpg,700,700
image,KeySnowboard001,SKU-SNW-2365,VariantKeySNW-2365,SNW-Image1-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
image,KeySnowboard001,SKU-SNW-2365,VariantKeySNW-2365,SNW-Image1-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/1.jpg,700,700
image,KeySnowboard001,SKU-SNW-2365,VariantKeySNW-2365,SNW-Image1-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/2.jpg,700,700
image,KeySnowboard001,SKU-SNW-2365,VariantKeySNW-2365,SNW-Image1-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/3.jpg,700,700
image,KeySnowboard001,SKU-SNW-2365,VariantKeySNW-2365,SNW-Image1-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/4.jpg,700,700
image,KeySnowboard001,SKU-SNW-2365,VariantKeySNW-2365,SNW-Image1-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/5.jpg,700,700
variant,KeySnowboard001,SKU-SNW-2365-0001,VariantKeySNW-2365-0001,SNW-Image1-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
variant,KeySnowboard001,SKU-SNW-2365-0002,VariantKeySNW-2365-0002,SNW-Image1-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
variant,KeySnowboard001,SKU-SNW-2365-0003,VariantKeySNW-2365-0003,SNW-Image1-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
variant,KeySnowboard001,SKU-SNW-2365-0004,VariantKeySNW-2365-0004,SNW-Image1-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
variant,KeySnowboard001,SKU-SNW-2365-0005,VariantKeySNW-2365-0005,SNW-Image1-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
