data-object,key,description.en-US,externalId,name.en-US,slug.en-US,parent.key,parent.typeId
category,abilityLevelKey,abilityLevelDescription,abilityLevelId,AbilityLevel,abilityLevelSlug,,
category,brandKey,brandDescription,brandId,Brand,brandSlug,,
category,ageGroupKey,ageGroupDescription,ageGroupId,AgeGroup,ageGroupSlug,,
category,terrainKey,terrainDescription,terrainId,Terrain,terrainSlug,,
category,Advanced-ExpertKey,Advanced-ExpertDescription,Advanced-ExpertId,Advanced-Expert,Advanced-ExpertSlug,abilityLevelKey,category
category,LibTechKey,LibTechDescription,LibTechId,LibTech,LibTechSlug,brandKey,category
category,adult-maleKey,adult-maleDescription,adult-maleId,Adult-male,adult-maleSlug,ageGroupKey,category
category,FreestyleKey,FreestyleDescription,FreestyleId,Freestyle,FreestyleSlug,terrainKey,category
category,All-MountainKey,All-MountainDescription,All-MountainId,All-Mountain,All-MountainSlug,terrainKey,category
category,FreerideKey,FreerideDescription,FreerideId,Freeride,FreerideSlug,terrainKey,category
category,Intermediate-AdvancedKey,Intermediate-AdvancedDescription,Intermediate-AdvancedId,Intermediate-Advanced,Intermediate-AdvancedSlug,abilityLevelKey,category
category,RideKey,RideDescription,RideId,Ride,RideSlug,brandKey,category
category,adult-anyKey,adult-anyDescription,adult-anyId,Adult-any,adult-anySlug,ageGroupKey,category
category,CAPiTAKey,CAPiTADescription,CAPiTAId,CAPiTA,CAPiTASlug,brandKey,category
category,SeasonKey,SeasonDescription,SeasonId,Season,SeasonSlug,brandKey,category
category,PowderKey,PowderDescription,PowderId,Powder,PowderSlug,terrainKey,category
category,Beginner-IntermediateKey,Beginner-IntermediateDescription,Beginner-IntermediateId,Beginner-Intermediate,Beginner-IntermediateSlug,abilityLevelKey,category
category,RossignolKey,RossignolDescription,RossignolId,Rossignol,RossignolSlug,brandKey,category
category,adult-femaleKey,adult-femaleDescription,adult-femaleId,Adult-female,adult-femaleSlug,ageGroupKey,category
category,K2Key,K2Description,K2Id,K2,K2Slug,brandKey,category
category,GNUKey,GNUDescription,GNUId,GNU,GNUSlug,brandKey,category
category,BurtonKey,BurtonDescription,BurtonId,Burton,BurtonSlug,brandKey,category
category,RoxyKey,RoxyDescription,RoxyId,Roxy,RoxySlug,brandKey,category
category,ArborKey,ArborDescription,ArborId,Arbor,ArborSlug,brandKey,category
category,NideckerKey,NideckerDescription,NideckerId,Nidecker,NideckerSlug,brandKey,category
category,child-anyKey,child-anyDescription,child-anyId,Child-any,child-anySlug,ageGroupKey,category
category,JonesKey,JonesDescription,JonesId,Jones,JonesSlug,brandKey,category
category,BataleonKey,BataleonDescription,BataleonId,Bataleon,BataleonSlug,brandKey,category
category,child-boyKey,child-boyDescription,child-boyId,Child-boy,child-boySlug,ageGroupKey,category
category,SalomonKey,SalomonDescription,SalomonId,Salomon,SalomonSlug,brandKey,category
category,RomeKey,RomeDescription,RomeId,Rome,RomeSlug,brandKey,category
category,SimsKey,SimsDescription,SimsId,Sims,SimsSlug,brandKey,category
category,SplitboardingKey,SplitboardingDescription,SplitboardingId,Splitboarding,SplitboardingSlug,terrainKey,category
category,NitroKey,NitroDescription,NitroId,Nitro,NitroSlug,brandKey,category
category,NeverSummerKey,NeverSummerDescription,NeverSummerId,NeverSummer,NeverSummerSlug,brandKey,category
category,child-girlKey,child-girlDescription,child-girlId,Child-girl,child-girlSlug,ageGroupKey,category
category,UnitedShapesKey,UnitedShapesDescription,UnitedShapesId,UnitedShapes,UnitedShapesSlug,brandKey,category
category,3YearsKey,3YearsDescription,3YearsId,3Years,3YearsSlug,terrainKey,category
category,YesKey,YesDescription,YesId,Yes,YesSlug,brandKey,category
category,WestonKey,WestonDescription,WestonId,Weston,WestonSlug,brandKey,category
category,CardiffKey,CardiffDescription,CardiffId,Cardiff,CardiffSlug,brandKey,category
category,toddler-anyKey,toddler-anyDescription,toddler-anyId,Toddler-any,toddler-anySlug,ageGroupKey,category
category,WNDRAlpineKey,WNDRAlpineDescription,WNDRAlpineId,WNDRAlpine,WNDRAlpineSlug,brandKey,category
category,PublicSnowboardsKey,PublicSnowboardsDescription,PublicSnowboardsId,PublicSnowboards,PublicSnowboardsSlug,brandKey,category
