data-object,variants.sku,variants.prices.key,variants.prices.value.currencyCode,variants.prices.value.type,variants.prices.country,variants.prices.value.fractionDigits,variants.prices.value.centAmount,variants.key,taxCategory.key,key,productType.key,description.en-US,priceMode,productType.typeId,name.en-US,slug.en-US,taxCategory.typeId,attributes.Specs_RockerType,attributes.Specs_Shape,attributes.Specs_FlexRating,attributes.Specs_BindingMountPattern,attributes.Specs_Core-Laminates,attributes.Specs_EdgeTech,attributes.Specs_MadeintheUSA,attributes.Specs_Warranty,attributes.Details_RockerType,attributes.Details_Flex,attributes.Details_Core,attributes.Details_Laminates,attributes.Details_Sidewalls,attributes.Details_Base,attributes.Details_Edges,attributes.Details_Topsheet,attributes.Details_Graphics,attributes.Details_AdditionalFeatures,attributes.Details_BindingCompatibility,attributes.SpecsTable_Size,attributes.SpecsTable_EffectiveEdge,attributes.SpecsTable_TipWidth,attributes.SpecsTable_WaistWidth,attributes.SpecsTable_TailWidth,attributes.SpecsTable_SidecutRadius,attributes.SpecsTable_StanceSetback,attributes.SpecsTable_StanceRange,attributes.SpecsTable_Width,categories,attributes.Details_Shape,attributes.SpecsTable_RiderWeight,attributes.Specs_Athletes,attributes.Details_Proposition65WarningtoCaliforniaConsumers,attributes.Specs_SnowboardAwards,attributes.Specs_Series
master,SKU-SNW-3125,PriceSNW-3125,USD,centPrecision,US,2,48999,VariantKeySNW-3125,SnowboardTaxKey,KeySnowboard000,SnowboardProductTypeKey,"The Lib Tech T.Rice Pro HP C2 Snowboard was born and raised in Jackson Hole. If that doesn't mean anything to you, let us break it down: it's annoyingly good at everything, loves a good cliff or couloir, and it invades Moab in the off season. If it can handle Corbet's, it can definitely handle your neck of the woods, so level up your game with Travis Rice's baby.",Embedded,product-type,Lib Tech T.Rice Pro HP C2 ,Lib-Tech-T-Rice-Pro-HP-C2-Snowboard-2024,tax-category,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,153,1185,295,,295,8,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0001,PriceSNW-3125-0001,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0001,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,153,1185,295,,295,8,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0002,PriceSNW-3125-0002,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0002,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,155,1190,298,,298,8-1,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0003,PriceSNW-3125-0003,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0003,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,157,1210,301,,301,8-2,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0004,PriceSNW-3125-0004,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0004,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,157W,1210,305,263,305,8-2,0,4-75,Wide,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0005,PriceSNW-3125-0005,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0005,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,159,1220,302,,302,8-3,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0006,PriceSNW-3125-0006,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0006,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,161,1245,304,,304,8-4,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0007,PriceSNW-3125-0007,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0007,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,161W,1245,311,265,311,8-4,0,4-75,Wide,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0008,PriceSNW-3125-0008,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0008,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,164,1270,310,,310,8-5,0,4-75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
variant,SKU-SNW-3125-0009,PriceSNW-3125-0009,USD,centPrecision,US,2,48999,VariantKeySNW-3125-0009,SnowboardTaxKey,,,,,,,,,Camber-Rocker-Camber,TrueTwin,Stiff,2x4,Basalt-Wood,Magne-Traction,Yes,1Year,C2Technology-LibTechworkedwithTravisRicetodevelopthisperfectlybalancedallterraincontour-Mildrockerbetweenyourfeetwithpowerfulcamberstothetipsandtails-Enoughpowerpopandprecisiontotechnicallyhitthebiggestwedges-enoughfloatandfreedomtoripthegnarliestAKpowlines-Carvestheresort-playsinthepark-andslayspowder-,Medium-Stiff-Stoutenoughtochargeyourhardestbutwithoutexcessiveharshness-,Horsepower-HP-Construction-60-Aspen-40-Paulownia-Lighter-EnvironmentallyNicer-Smoother-,Triaxial-BiaxialFiberglasswithBasaltAlloy-Auniquevolcanicfiberderivedfrombasaltfeaturesamazingstrengthanddampeningproperties-allowingthecreationoflight-strong-andamazinglysmoothperformancerides-,BirchInternalSidewalls,EcoSublimatedSintered-HighdensityduallayerUHMW-Optimizedwaxretention-toughnesswithawhitetitaniumunderlayerthatreflectslightandheat-keepingthebaseatornearambientsnowtemperaturesandmaximizesefficiencyoftheproprietaryenvironmentallyfriendlyecosublimationprocess-,Magne-Traction--Strategicallylocatededgeserrationsprovideunrealedgeholdandcontrolinallconditions-Turnsiceintopowder-,Eco-SublimatedBioBeansTop-Thisplantoilbasedtopmaterialisenvironmentallyfriendly-rugged-scratchresistantandprintsamazinglywellwithMervin-secosublimationprocess-,ArtbySchoph,MervinMade-HandmadeattheMervinFactoryinWashington-USAwithzerohazardouswaste-,2x4Inserts,164W,1270,312,267,312,8-5,0,4-75,Wide,Advanced-ExpertKey;LibTechKey;adult-maleKey;FreestyleKey;All-MountainKey;FreerideKey,,,,,,
